player1	player2	player3	player4	player5	number_women	total_points	allowed
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Trey Parker	Dennis Parker Jr.	0	15	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Trey Parker	Zoe Brooks	1	15	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Trey Parker	Aziaha James	1	16	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Trey Parker	Saniya Rivers	1	16	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Trey Parker	Madison Hayes	1	17	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Trey Parker	Tilda Trygger	1	14	1
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Dennis Parker Jr.	Zoe Brooks	1	16	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Dennis Parker Jr.	Aziaha James	1	17	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Dennis Parker Jr.	Saniya Rivers	1	17	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Dennis Parker Jr.	Madison Hayes	1	18	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Dennis Parker Jr.	Tilda Trygger	1	15	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Zoe Brooks	Aziaha James	2	17	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Zoe Brooks	Saniya Rivers	2	17	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Zoe Brooks	Madison Hayes	2	18	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Zoe Brooks	Tilda Trygger	2	15	1
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Aziaha James	Saniya Rivers	2	18	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Aziaha James	Madison Hayes	2	19	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Aziaha James	Tilda Trygger	2	16	1
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Saniya Rivers	Madison Hayes	2	19	0
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Saniya Rivers	Tilda Trygger	2	16	1
Ben Middlebrooks	Dontrez Styles	Jayden Taylor	Madison Hayes	Tilda Trygger	2	17	0
Ben Middlebrooks	Dontrez Styles	Trey Parker	Dennis Parker Jr.	Zoe Brooks	1	13	1
Ben Middlebrooks	Dontrez Styles	Trey Parker	Dennis Parker Jr.	Aziaha James	1	14	1
Ben Middlebrooks	Dontrez Styles	Trey Parker	Dennis Parker Jr.	Saniya Rivers	1	14	1
Ben Middlebrooks	Dontrez Styles	Trey Parker	Dennis Parker Jr.	Madison Hayes	1	15	0
