game_id,player,is_home,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
401719267,Ben Middlebrooks,True,21,5-8,0-0,0-1,4,6,10,2,1,4,3,2,10
401719267,Dontrez Styles,True,14,4-6,1-3,0-0,1,1,2,0,0,2,0,4,9
401719267,Jayden Taylor,True,22,3-8,1-5,1-2,1,2,3,2,0,0,2,3,8
401719267,Trey Parker,True,18,2-5,2-4,0-0,0,2,2,4,2,0,0,3,6
401719267,Dennis Parker Jr.,True,11,1-3,0-1,0-0,2,2,4,0,1,2,0,2,2
401720475,Dontrez Styles,True,34,4-9,1-3,0-0,1,5,6,0,0,2,1,3,9
401720475,Jayden Taylor,True,33,7-14,2-7,3-4,1,0,1,2,5,1,5,1,19
401720475,Ben Middlebrooks,True,19,6-7,1-1,3-4,0,1,1,1,3,0,0,1,16
401720475,Trey Parker,True,9,0-3,0-2,0-0,1,1,2,0,1,0,2,1,0
401720475,Dennis Parker Jr.,True,0,0,0,0,0,0,0,0,0,0,0,0,0
401724535,Dontrez Styles,True,28,3-5,0-1,4-6,3,3,6,1,0,2,0,4,10
401724535,Jayden Taylor,True,34,8-15,0-4,6-6,0,1,1,0,2,1,5,3,22
401724535,Ben Middlebrooks,True,9,1-6,0-3,1-2,0,0,0,0,0,0,0,2,3
401724535,Trey Parker,True,20,6-8,0-0,1-1,0,5,5,0,1,0,0,0,13
401724535,Dennis Parker Jr.,True,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
401721795,Dontrez Styles,True,24,3-6,1-1,0-0,1,10,11,0,0,2,3,1,7
401721795,Jayden Taylor,True,24,2-7,1-6,3-4,0,2,2,0,2,1,1,3,8
401721795,Ben Middlebrooks,True,16,5-8,0-0,9-9,1,3,4,1,2,3,0,3,19
401721795,Dennis Parker Jr.,True,16,0-2,0-1,1-2,0,5,5,1,1,0,1,0,1
401721795,Trey Parker,True,0,0,0,0,0,0,0,0,0,0,0,0,0
401724989,Dontrez Styles,True,26,4-8,2-5,2-3,1,3,4,2,0,0,1,2,12
401724989,Jayden Taylor,True,31,5-10,1-3,1-2,1,4,5,3,2,0,3,0,12
401724989,Ben Middlebrooks,True,22,4-8,0-0,3-4,3,4,7,3,2,5,1,4,11
401724989,Trey Parker,True,12,0-2,0-2,0-0,0,0,0,2,1,0,0,1,0
401724989,Dennis Parker Jr.,True,11,2-5,1-1,0-0,1,4,5,1,1,1,0,3,5
401716065,Dontrez Styles,False,26,2-7,0-5,0-0,0,3,3,0,0,1,0,3,4
401716065,Jayden Taylor,False,37,4-10,0-1,7-8,1,4,5,4,0,0,4,2,15
401716065,Ben Middlebrooks,False,18,3-5,0-1,3-5,2,3,5,0,1,0,0,3,9
401716065,Trey Parker,False,13,3-5,1-3,0-0,1,0,1,1,1,1,1,3,7
401716065,Dennis Parker Jr.,False,6,0-2,0-0,0-0,0,0,0,0,0,0,0,1,0
401731041,Trey Parker,False,17,4-8,1-3,0-0,0,3,3,1,0,0,0,2,9
401731041,Dontrez Styles,False,11,1-5,0-2,0-0,0,0,0,0,0,0,0,5,2
401731041,Jayden Taylor,False,30,4-10,4-7,4-7,0,5,5,1,2,1,4,1,16
401731041,Ben Middlebrooks,False,17,1-4,0-0,2-2,3,1,4,2,1,0,1,4,4
401731041,Dennis Parker Jr.,False,20,1-3,1-2,0-0,0,2,2,0,0,0,0,1,3
401715349,Ben Middlebrooks,True,26,1-1,1-1,0-1,1,2,3,3,1,1,1,3,3
401715349,Jayden Taylor,True,36,3-10,0-2,2-2,0,4,4,2,1,0,0,1,8
401715349,Trey Parker,True,5,0-1,0-0,0-0,0,1,1,0,0,0,1,1,0
401715349,Dennis Parker Jr.,True,4,0-0,0-0,0-2,0,0,0,0,0,1,0,1,0
401715349,Dontrez Styles,True,23,7-12,3-5,0-0,1,1,2,1,1,2,0,2,17
401724774,Ben Middlebrooks,True,27,2-4,0-0,0-1,2,2,4,1,1,2,2,4,4
401724774,Dontrez Styles,True,29,7-13,3-7,4-4,3,2,5,0,2,0,2,4,21
401724774,Jayden Taylor,True,39,3-8,1-4,7-10,0,4,4,0,0,1,1,2,14
401724774,Trey Parker,True,13,1-4,0-2,0-0,0,0,0,1,1,0,0,2,2
401724774,Dennis Parker Jr.,True,16,2-4,0-2,0-0,1,3,4,2,1,0,1,2,4
401723687,Ben Middlebrooks,True,20,3-6,0-0,7-9,5,0,5,1,0,1,1,2,13
401723687,Dontrez Styles,True,24,6-15,3-5,0-0,2,5,7,2,0,0,1,1,15
401723687,Jayden Taylor,True,15,1-2,0-0,1-2,0,1,1,0,0,1,2,2,3
401723687,Trey Parker,True,11,1-3,0-1,1-3,2,1,3,1,0,0,3,4,3
401723687,Dennis Parker Jr.,True,26,4-6,2-3,0-0,2,2,4,2,1,0,0,3,10
401706969,Ben Middlebrooks,False,31,4-10,0-1,6-10,4,4,8,1,2,1,0,1,14
401706969,Dontrez Styles,False,24,3-10,2-5,0-0,1,1,2,0,0,1,0,3,8
401706969,Jayden Taylor,False,17,3-6,2-3,0-0,0,0,0,0,0,0,1,1,8
401706969,Trey Parker,False,10,0-0,0-0,0-0,0,0,0,0,1,0,1,0,0
401706969,Dennis Parker Jr.,False,16,0-3,0-1,0-2,2,2,4,2,1,1,0,0,0
401706186,Ben Middlebrooks,True,20,4-5,1-1,3-6,0,3,3,0,1,3,2,1,12
401706186,Dontrez Styles,True,15,1-4,0-3,0-0,0,1,1,0,0,1,0,4,2
401706186,Jayden Taylor,True,24,5-7,3-4,3-5,0,2,2,2,1,0,1,1,16
401706186,Trey Parker,True,8,1-4,0-2,0-0,1,0,1,0,1,0,1,0,2
401706186,Dennis Parker Jr.,True,16,3-7,0-3,2-4,2,3,5,3,1,0,0,2,8
401724780,Dontrez Styles,False,20,3-6,0-2,1-4,0,1,1,0,0,0,0,3,7
401724780,Jayden Taylor,False,33,4-8,3-6,3-3,0,2,2,5,1,0,2,3,14
401724780,Trey Parker,False,5,1-2,1-2,0-0,0,0,0,0,0,0,1,0,3
401724780,Dennis Parker Jr.,False,20,1-5,0-2,0-0,0,0,0,0,0,0,1,2,2
401724780,Ben Middlebrooks,False,0,0,0,0,0,0,0,0,0,0,0,0,0
401724789,Ben Middlebrooks,False,26,0-3,0-1,4-6,0,1,1,1,0,1,1,4,4
401724789,Jayden Taylor,False,26,2-8,1-3,1-2,1,0,1,3,0,0,2,2,6
401724789,Trey Parker,False,5,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
401724789,Dennis Parker Jr.,False,14,1-1,0-0,0-0,1,0,1,0,1,0,1,1,2
401724789,Dontrez Styles,False,25,3-8,0-3,5-7,4,6,10,0,1,0,3,1,11
401724761,Ben Middlebrooks,True,23,2-5,1-1,5-6,1,3,4,0,1,3,1,4,10
