id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,home,FGM,FGA,FTM,FTA,3PM,3PA,MP
401719267,Ben Middlebrooks,10,10,2,1,4,3,1,3,2,1,5,8,0,1,0,0,00:21:00
401719267,Dontrez Styles,9,2,0,0,2,2,0,0,4,1,4,6,0,0,1,3,00:14:00
401719267,Jayden Taylor,8,3,2,0,0,5,1,2,3,1,3,8,1,2,1,5,00:22:00
401719267,Trey Parker,6,2,4,2,0,3,0,0,3,1,2,5,0,0,2,4,00:18:00
401719267,Dennis Parker Jr.,2,4,0,1,2,2,0,0,2,1,1,3,0,0,0,1,00:11:00
401720475,Dontrez Styles,9,6,0,0,2,5,0,1,3,1,4,9,0,0,1,3,00:34:00
401720475,Jayden Taylor,19,1,2,5,1,7,1,5,1,1,7,14,3,4,2,7,00:33:00
401720475,Ben Middlebrooks,16,1,1,3,0,1,1,0,1,1,6,7,3,4,1,1,00:19:00
401720475,Trey Parker,0,2,0,1,0,3,0,2,1,1,0,3,0,0,0,2,00:09:00
401720475,Dennis Parker Jr.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00:00:00
401724535,Dontrez Styles,10,6,1,0,2,2,2,0,4,1,3,5,4,6,0,1,00:28:00
401724535,Jayden Taylor,22,1,0,2,1,7,0,5,3,1,8,15,6,6,0,4,00:34:00
401724535,Ben Middlebrooks,3,0,0,0,0,5,1,0,2,1,1,6,1,2,0,3,00:09:00
401724535,Trey Parker,13,5,0,1,0,2,0,0,0,1,6,8,1,1,0,0,00:20:00
401724535,Dennis Parker Jr.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00:02:00
401721795,Dontrez Styles,7,11,0,0,2,3,0,3,1,1,3,6,0,0,1,1,00:24:00
401721795,Jayden Taylor,8,2,0,2,1,5,1,1,3,1,2,7,3,4,1,6,00:24:00
401721795,Ben Middlebrooks,19,4,1,2,3,3,0,0,3,1,5,8,9,9,0,0,00:16:00
401721795,Dennis Parker Jr.,1,5,1,1,0,2,1,1,0,1,0,2,1,2,0,1,00:16:00
401721795,Trey Parker,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00:00:00
401724989,Dontrez Styles,12,4,2,0,0,4,1,1,2,1,4,8,2,3,2,5,00:26:00
401724989,Jayden Taylor,12,5,3,2,0,5,1,3,0,1,5,10,1,2,1,3,00:31:00
401724989,Ben Middlebrooks,11,7,3,2,5,4,1,1,4,1,4,8,3,4,0,0,00:22:00
401724989,Trey Parker,0,0,2,1,0,2,0,0,1,1,0,2,0,0,0,2,00:12:00
401724989,Dennis Parker Jr.,5,5,1,1,1,3,0,0,3,1,2,5,0,0,1,1,00:11:00
401716065,Dontrez Styles,4,3,0,0,1,5,0,0,3,0,2,7,0,0,0,5,00:26:00
401716065,Jayden Taylor,15,5,4,0,0,6,1,4,2,0,4,10,7,8,0,1,00:37:00
401716065,Ben Middlebrooks,9,5,0,1,0,2,2,0,3,0,3,5,3,5,0,1,00:18:00
401716065,Trey Parker,7,1,1,1,1,2,0,1,3,0,3,5,0,0,1,3,00:13:00
401716065,Dennis Parker Jr.,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,00:06:00
401731041,Trey Parker,9,3,1,0,0,4,0,0,2,0,4,8,0,0,1,3,00:17:00
401731041,Dontrez Styles,2,0,0,0,0,4,0,0,5,0,1,5,0,0,0,2,00:11:00
401731041,Jayden Taylor,16,5,1,2,1,6,3,4,1,0,4,10,4,7,4,7,00:30:00
401731041,Ben Middlebrooks,4,4,2,1,0,3,0,1,4,0,1,4,2,2,0,0,00:17:00
401731041,Dennis Parker Jr.,3,2,0,0,0,2,0,0,1,0,1,3,0,0,1,2,00:20:00
401715349,Ben Middlebrooks,3,3,3,1,1,0,1,1,3,1,1,1,0,1,1,1,00:26:00
401715349,Jayden Taylor,8,4,2,1,0,7,0,0,1,1,3,10,2,2,0,2,00:36:00
401715349,Trey Parker,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,00:05:00
401715349,Dennis Parker Jr.,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,0,00:04:00
401715349,Dontrez Styles,17,2,1,1,2,5,0,0,2,1,7,12,0,0,3,5,00:23:00
401724774,Ben Middlebrooks,4,4,1,1,2,2,1,2,4,1,2,4,0,1,0,0,00:27:00
401724774,Dontrez Styles,21,5,0,2,0,6,0,2,4,1,7,13,4,4,3,7,00:29:00
401724774,Jayden Taylor,14,4,0,0,1,5,3,1,2,1,3,8,7,10,1,4,00:39:00
401724774,Trey Parker,2,0,1,1,0,3,0,0,2,1,1,4,0,0,0,2,00:13:00
401724774,Dennis Parker Jr.,4,4,2,1,0,2,0,1,2,1,2,4,0,0,0,2,00:16:00
401723687,Ben Middlebrooks,13,5,1,0,1,3,2,1,2,1,3,6,7,9,0,0,00:20:00
401723687,Dontrez Styles,15,7,2,0,0,9,0,1,1,1,6,15,0,0,3,5,00:24:00
401723687,Jayden Taylor,3,1,0,0,1,1,1,2,2,1,1,2,1,2,0,0,00:15:00
401723687,Trey Parker,3,3,1,0,0,2,2,3,4,1,1,3,1,3,0,1,00:11:00
