game_id,player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
401702885,Zoe Brooks,31,8-14,2-6,3-4,0,4,4,4,1,1,3,1,21
401702885,Aziaha James,28,7-14,0-3,3-3,1,8,9,1,1,0,2,1,17
401702885,Saniya Rivers,32,4-12,2-5,1-2,3,4,7,1,3,1,1,1,11
401702885,Madison Hayes,26,5-7,1-2,0-1,2,1,3,0,2,0,0,0,11
401702885,Tilda Trygger,10,1-1,0-0,1-1,3,0,3,0,0,2,0,0,3
401702886,Zoe Brooks,29,5-8,0-0,1-2,0,2,2,1,0,0,2,2,11
401702886,Aziaha James,35,4-9,1-3,4-4,0,0,0,3,3,0,4,1,13
401702886,Saniya Rivers,29,1-7,0-1,2-2,1,6,7,1,1,3,3,2,4
401702886,Madison Hayes,22,1-1,1-1,0-0,0,3,3,2,0,0,2,0,3
401702886,Tilda Trygger,22,1-5,0-2,0-0,0,3,3,0,1,0,1,0,2
401702887,Aziaha James,29,8-15,4-9,0-0,1,8,9,4,0,1,0,4,20
401702887,Saniya Rivers,32,3-9,0-2,0-0,0,5,5,3,2,1,2,1,6
401702887,Madison Hayes,25,3-9,1-4,2-2,2,6,8,0,1,1,0,2,9
401702887,Tilda Trygger,13,2-3,0-0,0-0,2,1,3,1,0,1,1,1,4
401702887,Zoe Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0
401702888,Zoe Brooks,36,6-12,2-4,1-2,0,6,6,3,0,0,1,2,15
401702888,Saniya Rivers,37,8-16,0-2,0-0,0,5,5,2,1,1,0,2,16
401702888,Madison Hayes,34,2-3,2-3,0-0,0,5,5,0,0,0,0,1,6
401702888,Tilda Trygger,14,0-2,0-1,1-2,1,1,2,1,0,0,0,1,1
401702888,Aziaha James,29,10-18,5-11,2-2,0,5,5,2,1,0,2,3,27
401702889,Zoe Brooks,28,2-4,1-2,1-4,0,9,9,4,0,3,3,2,6
401702889,Aziaha James,25,8-13,2-5,3-4,2,5,7,5,1,0,1,1,21
401702889,Saniya Rivers,24,3-8,0-1,0-0,1,4,5,3,1,1,2,1,6
401702889,Madison Hayes,25,7-10,3-6,1-1,1,3,4,1,2,1,0,0,18
401702889,Tilda Trygger,13,2-4,0-0,0-0,1,1,2,0,2,0,0,1,4
401724488,Zoe Brooks,28,5-10,0-3,7-9,1,2,3,3,1,0,1,2,17
401724488,Aziaha James,23,4-10,1-4,3-3,0,3,3,1,2,0,1,2,12
401724488,Saniya Rivers,32,2-6,0-2,1-2,1,6,7,3,1,1,4,2,5
401724488,Madison Hayes,26,2-5,0-2,4-4,1,6,7,0,1,1,0,0,8
401724488,Tilda Trygger,8,2-2,0-0,1-1,1,1,2,0,0,1,1,0,5
401729147,Zoe Brooks,28,4-7,0-2,4-4,0,0,0,2,3,1,5,1,12
401729147,Aziaha James,32,4-13,3-8,2-2,0,2,2,4,1,0,2,3,13
401729147,Saniya Rivers,39,8-19,2-4,3-3,0,0,0,2,2,1,0,0,21
401729147,Madison Hayes,27,4-9,3-7,0-0,3,1,4,2,0,0,1,2,11
401729147,Tilda Trygger,5,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
401702890,Zoe Brooks,35,8-13,1-2,2-4,0,3,3,3,2,0,2,1,19
401702890,Aziaha James,32,4-14,1-2,2-5,0,5,5,3,4,1,1,1,11
401702890,Saniya Rivers,35,3-8,2-4,2-2,1,5,6,4,0,1,5,3,10
401702890,Madison Hayes,34,2-7,0-2,2-4,4,5,9,0,0,2,1,2,6
401702890,Tilda Trygger,0,0,0,0,0,0,0,0,0,0,0,0,0
401702891,Zoe Brooks,21,3-9,0-1,1-2,0,6,6,2,1,0,1,3,7
401702891,Aziaha James,16,4-8,2-5,2-2,1,1,2,1,1,0,2,2,12
401702891,Saniya Rivers,21,3-7,0-1,8-9,1,4,5,4,3,0,1,0,14
401702891,Madison Hayes,24,2-6,0-0,2-3,3,5,8,0,0,0,2,1,6
401702891,Tilda Trygger,13,3-4,1-2,1-1,1,1,2,0,0,1,0,2,8
401702892,Zoe Brooks,25,1-8,0-0,1-1,1,1,2,1,0,0,1,0,3
401702892,Aziaha James,37,8-17,3-7,2-4,2,6,8,0,0,0,2,3,21
401702892,Saniya Rivers,40,11-21,0-0,3-4,4,7,11,0,1,1,0,0,25
401702892,Madison Hayes,36,0-5,0-2,7-8,4,6,10,0,2,2,0,0,7
401702892,Tilda Trygger,5,0-2,0-0,0-0,0,1,1,0,0,0,0,1,0
401720401,Zoe Brooks,29,5-8,0-1,1-1,1,2,3,3,1,0,2,3,11
401720401,Aziaha James,30,5-19,1-8,0-0,0,9,9,5,3,0,2,3,11
401720401,Saniya Rivers,31,5-11,1-2,3-4,0,13,13,2,2,1,4,1,14
401720401,Madison Hayes,23,1-3,0-0,0-0,2,4,6,1,0,1,2,3,2
401720401,Tilda Trygger,15,1-3,0-1,2-2,5,5,10,1,0,1,4,1,4
401702893,Zoe Brooks,36,5-12,0-2,0-2,0,3,3,6,3,1,4,1,10
401702893,Aziaha James,38,9-22,3-11,0-0,0,6,6,5,1,0,0,0,21
401702893,Saniya Rivers,26,1-5,0-2,0-2,0,6,6,4,0,1,0,0,2
401702893,Madison Hayes,36,4-12,2-6,1-2,1,4,5,0,0,0,3,0,11
401702893,Tilda Trygger,20,2-3,0-1,0-0,3,4,7,0,0,2,2,2,4
401724565,Tilda Trygger,23,2-5,0-1,2-2,2,1,3,1,0,1,0,0,6
401724565,Zoe Brooks,36,7-16,1-3,3-3,1,3,4,6,3,2,1,2,18
401724565,Aziaha James,35,5-10,1-6,4-4,1,6,7,4,1,1,3,1,15
401724565,Saniya Rivers,34,6-12,1-3,1-5,0,3,3,3,0,1,1,3,14
