id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,FGM,FGA,FTM,FTA,3PM,3PA,MP
401702885,Zoe Brooks,21,4,4,1,1,6,1,3,1,8,14,3,4,2,6,00:31:00
401702885,Aziaha James,17,9,1,1,0,7,0,2,1,7,14,3,3,0,3,00:28:00
401702885,Saniya Rivers,11,7,1,3,1,8,1,1,1,4,12,1,2,2,5,00:32:00
401702885,Madison Hayes,11,3,0,2,0,2,1,0,0,5,7,0,1,1,2,00:26:00
401702885,Tilda Trygger,3,3,0,0,2,0,0,0,0,1,1,1,1,0,0,00:10:00
401702886,Zoe Brooks,11,2,1,0,0,3,1,2,2,5,8,1,2,0,0,00:29:00
401702886,Aziaha James,13,0,3,3,0,5,0,4,1,4,9,4,4,1,3,00:35:00
401702886,Saniya Rivers,4,7,1,1,3,6,0,3,2,1,7,2,2,0,1,00:29:00
401702886,Madison Hayes,3,3,2,0,0,0,0,2,0,1,1,0,0,1,1,00:22:00
401702886,Tilda Trygger,2,3,0,1,0,4,0,1,0,1,5,0,0,0,2,00:22:00
401702887,Aziaha James,20,9,4,0,1,7,0,0,4,8,15,0,0,4,9,00:29:00
401702887,Saniya Rivers,6,5,3,2,1,6,0,2,1,3,9,0,0,0,2,00:32:00
401702887,Madison Hayes,9,8,0,1,1,6,0,0,2,3,9,2,2,1,4,00:25:00
401702887,Tilda Trygger,4,3,1,0,1,1,0,1,1,2,3,0,0,0,0,00:13:00
401702887,Zoe Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00
401702888,Zoe Brooks,15,6,3,0,0,6,1,1,2,6,12,1,2,2,4,00:36:00
401702888,Saniya Rivers,16,5,2,1,1,8,0,0,2,8,16,0,0,0,2,00:37:00
401702888,Madison Hayes,6,5,0,0,0,1,0,0,1,2,3,0,0,2,3,00:34:00
401702888,Tilda Trygger,1,2,1,0,0,2,1,0,1,0,2,1,2,0,1,00:14:00
401702888,Aziaha James,27,5,2,1,0,8,0,2,3,10,18,2,2,5,11,00:29:00
401702889,Zoe Brooks,6,9,4,0,3,2,3,3,2,2,4,1,4,1,2,00:28:00
401702889,Aziaha James,21,7,5,1,0,5,1,1,1,8,13,3,4,2,5,00:25:00
